dataset,filename,encode_ms
Dataset 1,estadoActual0.jpg,2.41
Dataset 1,estadoActual1.jpg,2.5508
Dataset 1,estadoActual10.jpg,3.2261
Dataset 1,estadoActual100.jpg,2.1995
Dataset 1,estadoActual101.jpg,2.0819
Dataset 1,estadoActual102.jpg,0.8403
Dataset 1,estadoActual103.jpg,0.5802
Dataset 1,estadoActual104.jpg,0.8414
Dataset 1,estadoActual105.jpg,0.8077
Dataset 1,estadoActual106.jpg,0.7821
Dataset 1,estadoActual107.jpg,0.7424
Dataset 1,estadoActual108.jpg,0.7592
Dataset 1,estadoActual109.jpg,0.5098
Dataset 1,estadoActual11.jpg,0.969
Dataset 1,estadoActual110.jpg,0.5668
Dataset 1,estadoActual111.jpg,0.5284
Dataset 1,estadoActual112.jpg,0.6391
Dataset 1,estadoActual113.jpg,0.6066
Dataset 1,estadoActual114.jpg,0.6262
Dataset 1,estadoActual115.jpg,0.6115
Dataset 1,estadoActual116.jpg,0.7918
Dataset 1,estadoActual117.jpg,0.5852
Dataset 1,estadoActual118.jpg,7.5053
Dataset 1,estadoActual119.jpg,0.5686
Dataset 1,estadoActual12.jpg,0.5927
Dataset 1,estadoActual120.jpg,0.4014
Dataset 1,estadoActual13.jpg,0.375
Dataset 1,estadoActual14.jpg,0.4783
Dataset 1,estadoActual15.jpg,0.6407
Dataset 1,estadoActual16.jpg,0.6433
Dataset 1,estadoActual17.jpg,0.4139
Dataset 1,estadoActual18.jpg,0.6871
Dataset 1,estadoActual19.jpg,0.5315
Dataset 1,estadoActual2.jpg,0.3396
Dataset 1,estadoActual20.jpg,0.494
Dataset 1,estadoActual21.jpg,0.3643
Dataset 1,estadoActual22.jpg,0.8776
Dataset 1,estadoActual23.jpg,0.3115
Dataset 1,estadoActual24.jpg,0.532
Dataset 1,estadoActual25.jpg,0.5326
Dataset 1,estadoActual26.jpg,0.6292
Dataset 1,estadoActual27.jpg,0.5861
Dataset 1,estadoActual28.jpg,0.3205
Dataset 1,estadoActual29.jpg,0.4651
Dataset 1,estadoActual3.jpg,0.2678
Dataset 1,estadoActual30.jpg,0.3715
Dataset 1,estadoActual31.jpg,0.9238
Dataset 1,estadoActual32.jpg,0.4396
Dataset 1,estadoActual33.jpg,0.3433
Dataset 1,estadoActual34.jpg,0.2869
Dataset 1,estadoActual35.jpg,0.4428
Dataset 1,estadoActual36.jpg,0.3242
Dataset 1,estadoActual37.jpg,0.4398
Dataset 1,estadoActual38.jpg,0.3316
Dataset 1,estadoActual39.jpg,0.3462
