dataset,filename,add_block_ms
Dataset 1,estadoActual0.jpg,0.0084
Dataset 1,estadoActual1.jpg,0.0082
Dataset 1,estadoActual10.jpg,0.0033
Dataset 1,estadoActual100.jpg,0.0035
Dataset 1,estadoActual101.jpg,0.0032
Dataset 1,estadoActual102.jpg,0.0039
Dataset 1,estadoActual103.jpg,0.0027
Dataset 1,estadoActual104.jpg,0.0028
Dataset 1,estadoActual105.jpg,0.0023
Dataset 1,estadoActual106.jpg,0.0028
Dataset 1,estadoActual107.jpg,0.0051
Dataset 1,estadoActual108.jpg,0.0041
Dataset 1,estadoActual109.jpg,0.0018
Dataset 1,estadoActual11.jpg,0.0034
Dataset 1,estadoActual110.jpg,0.004
Dataset 1,estadoActual111.jpg,0.0024
Dataset 1,estadoActual112.jpg,0.0022
Dataset 1,estadoActual113.jpg,0.0049
Dataset 1,estadoActual114.jpg,0.0035
Dataset 1,estadoActual115.jpg,0.0032
Dataset 1,estadoActual116.jpg,0.0022
Dataset 1,estadoActual117.jpg,0.0076
Dataset 1,estadoActual118.jpg,0.0034
Dataset 1,estadoActual119.jpg,0.0056
Dataset 1,estadoActual12.jpg,0.0034
Dataset 1,estadoActual120.jpg,0.0024
Dataset 1,estadoActual13.jpg,0.0022
Dataset 1,estadoActual14.jpg,0.0028
Dataset 1,estadoActual15.jpg,0.0018
Dataset 1,estadoActual16.jpg,0.0025
Dataset 1,estadoActual17.jpg,0.0021
Dataset 1,estadoActual18.jpg,0.0017
Dataset 1,estadoActual19.jpg,0.0048
Dataset 1,estadoActual2.jpg,0.001
Dataset 1,estadoActual20.jpg,0.0017
Dataset 1,estadoActual21.jpg,0.0016
Dataset 1,estadoActual22.jpg,0.004
Dataset 1,estadoActual23.jpg,0.0013
Dataset 1,estadoActual24.jpg,0.0025
Dataset 1,estadoActual25.jpg,0.0021
Dataset 1,estadoActual26.jpg,0.0032
Dataset 1,estadoActual27.jpg,0.0022
Dataset 1,estadoActual28.jpg,0.0015
Dataset 1,estadoActual29.jpg,0.0011
Dataset 1,estadoActual3.jpg,0.0013
Dataset 1,estadoActual30.jpg,0.0023
Dataset 1,estadoActual31.jpg,0.0038
Dataset 1,estadoActual32.jpg,0.0014
Dataset 1,estadoActual33.jpg,0.0031
Dataset 1,estadoActual34.jpg,9.0E-4
Dataset 1,estadoActual35.jpg,0.0025
Dataset 1,estadoActual36.jpg,0.0015
Dataset 1,estadoActual37.jpg,0.0014
Dataset 1,estadoActual38.jpg,0.0018
Dataset 1,estadoActual39.jpg,8.0E-4
Dataset 1,estadoActual4.jpg,9.0E-4
Dataset 1,estadoActual40.jpg,0.001
Dataset 1,estadoActual41.jpg,0.0012
Dataset 1,estadoActual42.jpg,0.002
Dataset 1,estadoActual43.jpg,0.0018
Dataset 1,estadoActual44.jpg,0.0024
Dataset 1,estadoActual45.jpg,0.0014
Dataset 1,estadoActual46.jpg,0.0018
Dataset 1,estadoActual47.jpg,0.0013
Dataset 1,estadoActual48.jpg,0.0028
Dataset 1,estadoActual49.jpg,0.0013
Dataset 1,estadoActual5.jpg,0.005
Dataset 1,estadoActual50.jpg,0.0015
Dataset 1,estadoActual51.jpg,0.0012
Dataset 1,estadoActual52.jpg,0.002
Dataset 1,estadoActual53.jpg,0.0015
Dataset 1,estadoActual54.jpg,0.0015
Dataset 1,estadoActual55.jpg,0.0018
Dataset 1,estadoActual56.jpg,0.0017
Dataset 1,estadoActual57.jpg,0.0028
Dataset 1,estadoActual58.jpg,0.0067
Dataset 1,estadoActual59.jpg,0.0045
Dataset 1,estadoActual6.jpg,0.0012
Dataset 1,estadoActual60.jpg,0.0016
Dataset 1,estadoActual61.jpg,0.0017
Dataset 1,estadoActual62.jpg,0.0023
Dataset 1,estadoActual63.jpg,0.001
Dataset 1,estadoActual64.jpg,0.0015
Dataset 1,estadoActual65.jpg,0.0016
Dataset 1,estadoActual66.jpg,0.0017
Dataset 1,estadoActual67.jpg,0.0016
Dataset 1,estadoActual68.jpg,0.002
Dataset 1,estadoActual69.jpg,0.0026
Dataset 1,estadoActual7.jpg,0.0023
Dataset 1,estadoActual70.jpg,0.0014
Dataset 1,estadoActual71.jpg,0.0017
Dataset 1,estadoActual72.jpg,0.0015
Dataset 1,estadoActual73.jpg,0.0014
Dataset 1,estadoActual74.jpg,0.0019
Dataset 1,estadoActual75.jpg,0.0013
Dataset 1,estadoActual76.jpg,0.0016
Dataset 1,estadoActual77.jpg,0.0014
Dataset 1,estadoActual78.jpg,0.0018
Dataset 1,estadoActual79.jpg,0.0013
Dataset 1,estadoActual8.jpg,0.003
Dataset 1,estadoActual80.jpg,0.0017
Dataset 1,estadoActual81.jpg,0.0016
Dataset 1,estadoActual82.jpg,0.0015
Dataset 1,estadoActual83.jpg,0.002
Dataset 1,estadoActual84.jpg,0.0016
Dataset 1,estadoActual85.jpg,0.0013
Dataset 1,estadoActual86.jpg,0.0018
Dataset 1,estadoActual87.jpg,0.0013
Dataset 1,estadoActual88.jpg,0.005
Dataset 1,estadoActual89.jpg,0.0036
Dataset 1,estadoActual9.jpg,0.0013
Dataset 1,estadoActual90.jpg,0.0025
Dataset 1,estadoActual91.jpg,0.0016
Dataset 1,estadoActual92.jpg,0.001
Dataset 1,estadoActual93.jpg,0.0034
Dataset 1,estadoActual94.jpg,0.0014
Dataset 1,estadoActual95.jpg,0.0021
Dataset 1,estadoActual96.jpg,0.0018
Dataset 1,estadoActual97.jpg,0.0021
Dataset 1,estadoActual98.jpg,0.0104
Dataset 1,estadoActual99.jpg,0.0016
Dataset 2,estadoActual0.jpg,9.0E-4
Dataset 2,estadoActual1.jpg,0.0015
Dataset 2,estadoActual10.jpg,0.0012
Dataset 2,estadoActual11.jpg,0.0019
Dataset 2,estadoActual12.jpg,0.0015
Dataset 2,estadoActual13.jpg,0.002
Dataset 2,estadoActual14.jpg,0.004
Dataset 2,estadoActual15.jpg,0.0027
Dataset 2,estadoActual16.jpg,0.0019
Dataset 2,estadoActual17.jpg,0.0033
Dataset 2,estadoActual18.jpg,0.0016
Dataset 2,estadoActual19.jpg,0.0031
Dataset 2,estadoActual2.jpg,0.0016
Dataset 2,estadoActual20.jpg,0.0056
Dataset 2,estadoActual21.jpg,0.0042
Dataset 2,estadoActual22.jpg,0.0016
Dataset 2,estadoActual23.jpg,0.002
Dataset 2,estadoActual24.jpg,0.0066
Dataset 2,estadoActual25.jpg,0.0016
Dataset 2,estadoActual26.jpg,0.0027
Dataset 2,estadoActual27.jpg,0.0014
Dataset 2,estadoActual28.jpg,0.0072
Dataset 2,estadoActual29.jpg,0.0021
Dataset 2,estadoActual3.jpg,0.0147
Dataset 2,estadoActual30.jpg,0.0031
Dataset 2,estadoActual31.jpg,0.0017
Dataset 2,estadoActual32.jpg,0.0013
Dataset 2,estadoActual33.jpg,0.0051
Dataset 2,estadoActual34.jpg,0.0014
Dataset 2,estadoActual35.jpg,0.0021
Dataset 2,estadoActual36.jpg,0.0041
Dataset 2,estadoActual37.jpg,0.0033
Dataset 2,estadoActual38.jpg,0.0027
Dataset 2,estadoActual39.jpg,0.0016
Dataset 2,estadoActual4.jpg,0.0048
Dataset 2,estadoActual5.jpg,0.0015
Dataset 2,estadoActual6.jpg,0.0015
Dataset 2,estadoActual7.jpg,0.0026
Dataset 2,estadoActual8.jpg,0.0067
Dataset 2,estadoActual9.jpg,0.0018
Dataset 3,estadoActual0.jpg,0.0019
Dataset 3,estadoActual1.jpg,0.0015
Dataset 3,estadoActual10.jpg,0.0017
Dataset 3,estadoActual100.jpg,0.0014
Dataset 3,estadoActual101.jpg,0.0031
Dataset 3,estadoActual102.jpg,0.0053
Dataset 3,estadoActual103.jpg,0.0022
Dataset 3,estadoActual104.jpg,0.0014
Dataset 3,estadoActual105.jpg,0.0018
Dataset 3,estadoActual106.jpg,0.0026
Dataset 3,estadoActual107.jpg,0.002
Dataset 3,estadoActual108.jpg,0.0018
Dataset 3,estadoActual109.jpg,0.0017
Dataset 3,estadoActual11.jpg,0.0014
Dataset 3,estadoActual110.jpg,0.0039
Dataset 3,estadoActual111.jpg,0.0016
Dataset 3,estadoActual112.jpg,0.0013
Dataset 3,estadoActual113.jpg,0.0019
Dataset 3,estadoActual114.jpg,0.0014
Dataset 3,estadoActual115.jpg,0.0015
Dataset 3,estadoActual116.jpg,0.0017
Dataset 3,estadoActual117.jpg,0.0029
Dataset 3,estadoActual118.jpg,0.0015
Dataset 3,estadoActual119.jpg,0.0013
Dataset 3,estadoActual12.jpg,0.0019
Dataset 3,estadoActual120.jpg,0.0023
Dataset 3,estadoActual13.jpg,0.002
Dataset 3,estadoActual14.jpg,0.0029
Dataset 3,estadoActual15.jpg,0.0019
Dataset 3,estadoActual16.jpg,0.0016
Dataset 3,estadoActual17.jpg,0.0014
Dataset 3,estadoActual18.jpg,0.0014
Dataset 3,estadoActual19.jpg,0.0035
Dataset 3,estadoActual2.jpg,0.0054
Dataset 3,estadoActual20.jpg,0.0019
Dataset 3,estadoActual21.jpg,0.005
Dataset 3,estadoActual22.jpg,0.0018
Dataset 3,estadoActual23.jpg,0.0014
Dataset 3,estadoActual24.jpg,0.0019
Dataset 3,estadoActual25.jpg,0.0044
Dataset 3,estadoActual26.jpg,0.0012
Dataset 3,estadoActual27.jpg,0.0016
Dataset 3,estadoActual28.jpg,0.0011
Dataset 3,estadoActual29.jpg,0.0011
Dataset 3,estadoActual3.jpg,0.0011
Dataset 3,estadoActual30.jpg,0.0015
Dataset 3,estadoActual31.jpg,0.0019
Dataset 3,estadoActual32.jpg,0.0015
Dataset 3,estadoActual33.jpg,0.0031
Dataset 3,estadoActual34.jpg,0.0011
Dataset 3,estadoActual35.jpg,0.0033
Dataset 3,estadoActual36.jpg,0.0016
Dataset 3,estadoActual37.jpg,0.0015
Dataset 3,estadoActual38.jpg,0.001
Dataset 3,estadoActual39.jpg,0.0014
Dataset 3,estadoActual4.jpg,0.001
Dataset 3,estadoActual40.jpg,0.0018
Dataset 3,estadoActual41.jpg,0.0011
Dataset 3,estadoActual42.jpg,0.0014
Dataset 3,estadoActual43.jpg,0.0015
Dataset 3,estadoActual44.jpg,0.001
Dataset 3,estadoActual45.jpg,9.0E-4
Dataset 3,estadoActual46.jpg,0.0015
Dataset 3,estadoActual47.jpg,0.0024
Dataset 3,estadoActual48.jpg,0.0017
Dataset 3,estadoActual49.jpg,0.0019
Dataset 3,estadoActual5.jpg,0.0016
Dataset 3,estadoActual50.jpg,0.0018
Dataset 3,estadoActual51.jpg,0.0015
Dataset 3,estadoActual52.jpg,0.0017
Dataset 3,estadoActual53.jpg,0.002
Dataset 3,estadoActual54.jpg,0.0035
Dataset 3,estadoActual55.jpg,0.0038
Dataset 3,estadoActual56.jpg,0.0014
Dataset 3,estadoActual57.jpg,0.0016
Dataset 3,estadoActual58.jpg,0.0018
Dataset 3,estadoActual59.jpg,0.0019
Dataset 3,estadoActual6.jpg,0.0013
Dataset 3,estadoActual60.jpg,0.0012
Dataset 3,estadoActual61.jpg,0.0012
Dataset 3,estadoActual62.jpg,0.0019
Dataset 3,estadoActual63.jpg,0.0013
Dataset 3,estadoActual64.jpg,0.0011
Dataset 3,estadoActual65.jpg,0.0015
Dataset 3,estadoActual66.jpg,0.0018
Dataset 3,estadoActual67.jpg,0.0031
Dataset 3,estadoActual68.jpg,0.0021
Dataset 3,estadoActual69.jpg,0.0053
Dataset 3,estadoActual7.jpg,0.002
Dataset 3,estadoActual70.jpg,0.0012
Dataset 3,estadoActual71.jpg,0.0021
Dataset 3,estadoActual72.jpg,0.005
Dataset 3,estadoActual73.jpg,0.0035
Dataset 3,estadoActual74.jpg,0.0022
Dataset 3,estadoActual75.jpg,0.003
Dataset 3,estadoActual76.jpg,0.0014
Dataset 3,estadoActual77.jpg,0.0068
Dataset 3,estadoActual78.jpg,0.0054
Dataset 3,estadoActual79.jpg,0.0011
Dataset 3,estadoActual8.jpg,0.002
Dataset 3,estadoActual80.jpg,0.0016
Dataset 3,estadoActual81.jpg,0.0014
Dataset 3,estadoActual82.jpg,0.0018
Dataset 3,estadoActual83.jpg,0.0013
Dataset 3,estadoActual84.jpg,0.0018
Dataset 3,estadoActual85.jpg,0.0017
Dataset 3,estadoActual86.jpg,0.0017
Dataset 3,estadoActual87.jpg,0.0075
Dataset 3,estadoActual88.jpg,0.0026
Dataset 3,estadoActual89.jpg,0.0014
Dataset 3,estadoActual9.jpg,0.0019
Dataset 3,estadoActual90.jpg,0.0023
Dataset 3,estadoActual91.jpg,0.0025
Dataset 3,estadoActual92.jpg,0.0018
Dataset 3,estadoActual93.jpg,0.0042
Dataset 3,estadoActual94.jpg,0.0015
Dataset 3,estadoActual95.jpg,0.0015
Dataset 3,estadoActual96.jpg,0.0014
Dataset 3,estadoActual97.jpg,0.0017
Dataset 3,estadoActual98.jpg,0.0034
Dataset 3,estadoActual99.jpg,0.0017
