dataset,filename,block_index,bytes,add_ms,cid
Dataset 1,estadoActual0.jpg,0,19049,28.4778,QmTce25LyDm2gjhHx8o3p5rwizqDa6WdLe8YvVJrTsoZez
Dataset 1,estadoActual1.jpg,1,87325,40.0218,QmQVj6usBA8pKUC35zhc2Vz5JtxDCXFWdXg2LWysHUUexC
Dataset 1,estadoActual10.jpg,2,77578,24.5662,QmWsh4pHhM6g4Xqnp8XjD2ttDXMshuoLgq4ar3eN8UDVZj
Dataset 1,estadoActual100.jpg,3,38803,24.62,QmWGf6rim74zT9RHwMGYj82AKhwa4QbTjY2xq437PGpZt6
Dataset 1,estadoActual101.jpg,4,47323,24.3453,QmfHBK9sRsTVaXasEk7L48cqC5wDeubwaGMuuuZS6e9u6R
Dataset 1,estadoActual102.jpg,5,54867,22.6903,QmS5hccQYKAXRGfwr3kfBN7hz7AxyjfSLP1dd7KpaHYTMV
Dataset 1,estadoActual103.jpg,6,45651,25.4762,QmRYd12PCkCjtJ3oUmZgcr5WBEuRyFuP5bEbHfTmVzFVoP
Dataset 1,estadoActual104.jpg,7,51139,27.3906,Qme2WaP3T8ZxMJfgLGRxSrq1MpToLR2NNvFJpcBdgY9bma
Dataset 1,estadoActual105.jpg,8,51623,27.84,QmcQB85qMPVAbRpEH6gTzqic68cSLzoUd8dbTsXLdPDmbd
Dataset 1,estadoActual106.jpg,9,60435,22.8854,Qmd9w2xvDJP3mX9jYhzLsbWbvFK6Non25yo1uxHF6n7bsj
Dataset 1,estadoActual107.jpg,10,63803,26.8335,QmPfMBeLTNUYTSAHL8rVZdKNii6MMXrWJHHcE8MRzppUiP
Dataset 1,estadoActual108.jpg,11,63803,20.4814,QmNTec4FEooiu84tzDyKHgGxt3zpZNJ9PdCQ3CH2sdxdEd
Dataset 1,estadoActual109.jpg,12,63803,25.9097,QmQjx3HetpgjcM6buDg9MbsaHRkQmdYYFBVA7wufigWJs3
Dataset 1,estadoActual11.jpg,13,80206,23.457,QmenfwqJxKhsykZYCQsZRzNovJZGHGz9wjaFhLLGCGTGuU
