dataset,filename,bytes,add_ms,cid
Dataset 1,estadoActual0.jpg,14114,116.0873,QmXa9AcsxoZPQS2bGuAsR7EVmLJssaWbMMyThapbsM36hY
Dataset 1,estadoActual1.jpg,65321,30.9125,QmYXbSWjiF8aAQDXo2d7fH8XgLwHmhtrsz5jNPa1BYCX6E
Dataset 1,estadoActual10.jpg,58009,21.5482,QmRKb7gzzKTWY1iETAVjNXjQkpjtLYmtVPtdsyJUcuP1VV
Dataset 1,estadoActual100.jpg,28928,22.1842,Qmew1gVBNCMSicWvg32nnLgqfkEYG8mzQu5JWuqXEHwFpj
Dataset 1,estadoActual101.jpg,35318,27.5671,QmRDrduNEEPiEZ5zzeSJ6RNnndWijVFMWzVqHffSDwZwcz
Dataset 1,estadoActual102.jpg,40977,20.1105,Qme8EPci23XoHfghMyfxNrKFXnv1cs4jachy9Ci3dcRUHw
Dataset 1,estadoActual103.jpg,34064,19.7198,QmXXJkDE3HSTrXAn7XeGdzH1CmVRH8HiRDKkZartfaNa56
Dataset 1,estadoActual104.jpg,38180,32.932,QmT76bXWxWjbm81LQMQspWvArr1wt6qKatvcyv1npXWWk7
Dataset 1,estadoActual105.jpg,38542,26.6198,QmW6mjGRUzp4o1DZR8nFchpknxjgYj4Tase35qyqoWzW1s
Dataset 1,estadoActual106.jpg,45151,33.9112,Qmcm3ZjuRPTZktgZAsS49WZ2F4vbukGBjtQoQFJTaCw9kJ
Dataset 1,estadoActual107.jpg,47678,17.4489,QmVrPknWNCTTJFgCeQbhUH3285KtLBKygNzrZCW6z5FAkM
Dataset 1,estadoActual108.jpg,47678,5.546,QmVrPknWNCTTJFgCeQbhUH3285KtLBKygNzrZCW6z5FAkM
Dataset 1,estadoActual109.jpg,47678,4.6609,QmVrPknWNCTTJFgCeQbhUH3285KtLBKygNzrZCW6z5FAkM
Dataset 1,estadoActual11.jpg,59980,19.0751,QmWU6bCmW8BamWeFAwbMQ9uBNGU7VwFyKzcFXDh1XebQA3
Dataset 1,estadoActual110.jpg,47678,5.2596,QmVrPknWNCTTJFgCeQbhUH3285KtLBKygNzrZCW6z5FAkM
Dataset 1,estadoActual111.jpg,47678,5.4896,QmVrPknWNCTTJFgCeQbhUH3285KtLBKygNzrZCW6z5FAkM
Dataset 1,estadoActual112.jpg,47678,6.5627,QmVrPknWNCTTJFgCeQbhUH3285KtLBKygNzrZCW6z5FAkM
Dataset 1,estadoActual113.jpg,48125,18.4844,QmUCbwoczmCqnMqpZg6TxvDcYN5dHdefDgcdcGjf5CTmm6
Dataset 1,estadoActual114.jpg,48125,5.3757,QmUCbwoczmCqnMqpZg6TxvDcYN5dHdefDgcdcGjf5CTmm6
Dataset 1,estadoActual115.jpg,48125,6.6764,QmUCbwoczmCqnMqpZg6TxvDcYN5dHdefDgcdcGjf5CTmm6
Dataset 1,estadoActual116.jpg,48125,5.4276,QmUCbwoczmCqnMqpZg6TxvDcYN5dHdefDgcdcGjf5CTmm6
Dataset 1,estadoActual117.jpg,48125,16.1794,QmUCbwoczmCqnMqpZg6TxvDcYN5dHdefDgcdcGjf5CTmm6
Dataset 1,estadoActual118.jpg,48125,5.1542,QmUCbwoczmCqnMqpZg6TxvDcYN5dHdefDgcdcGjf5CTmm6
Dataset 1,estadoActual119.jpg,48125,4.9413,QmUCbwoczmCqnMqpZg6TxvDcYN5dHdefDgcdcGjf5CTmm6
Dataset 1,estadoActual12.jpg,59588,18.8692,QmbmDqM6yHWrSG5NGaeVeB4uKbLv8XoT1qgViV4oSSBH1t
